sep=,
DeviceTag:,RW2,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.1.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
SyncStatus:,Un-synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2024-06-16 16:28:34.083 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status,Euler_X,Euler_Y,Euler_Z
1491,1486602788,-17.247276,27.056145,10.884098,0,-80.88427713926073,-35.53400957478634,162.3691236338892
1492,1486619455,-31.302635,38.20277,16.665054,0,-84.92345408932681,-23.626696663154423,164.88743141255424
1493,1486636122,-66.95227,37.413994,-29.7631,0,-76.1309051600793,-13.224927001225883,159.72864705860093
1494,1486652789,-24.931458,2.5058706,-69.87726,0,-71.53804947336464,-3.846625892178847,153.28533669777528
1495,1486669456,1.9393365,-17.840967,-62.73475,0,-74.19618580812318,2.2042761363012615,152.4464010947338
1496,1486686123,6.3246236,-2.6638486,-41.910854,0,-80.45897235283164,5.695306935618609,154.65920217213488
1497,1486702790,-0.6103605,6.9053917,-27.938215,0,-84.73202540470356,7.484958624053292,156.9291941865228
1498,1486719457,-6.6614103,6.218659,-27.163494,0,-85.65299352677349,8.17658148282402,158.41994210826152
1499,1486736124,-8.052087,2.2206347,-32.363922,0,-85.33868897386117,8.17395390762416,159.55869603821387
1500,1486752791,-5.260748,-1.1772317,-34.379982,0,-85.33452000568988,7.468948372577078,160.84251948325422
1501,1486769458,-3.0205567,-2.6080577,-32.04281,0,-86.48763013505139,6.049728108094547,162.8928537115116
1502,1486786125,-3.8352587,-0.5800403,-27.506567,0,-88.18308288650904,3.9500609650027747,165.61561951769477
1503,1486802792,-5.311882,0.55834156,-25.28629,0,-90.1814559874472,1.1643912424872196,168.91986669508347
1504,1486819459,-10.455528,1.432166,-22.66006,0,-92.92556872155453,-2.301310839229579,172.88384230820665
1505,1486836126,-15.447943,2.614353,-18.36079,0,-95.72084972211213,-6.646757756331903,177.04845129425442
1506,1486852793,-20.568163,2.8324854,-12.61613,0,-97.49921381553388,-11.885576364230708,-178.96590796469877
1507,1486869460,-22.765156,-0.36933872,-10.507258,0,-98.12341955367529,-17.99212698276843,-175.32425939175158
1508,1486886127,-24.157759,-4.986694,-10.505133,0,-99.04408091972132,-24.744968037462204,-171.45126442954094
1509,1486902794,-26.483635,-9.775838,-7.107272,0,-101.65141090588538,-31.897036773380457,-166.9144926711647
1510,1486919461,-27.206627,-12.545037,-2.026043,0,-106.42785465242534,-39.31084206566347,-161.56849643229185
1511,1486936128,-24.289951,-12.937155,3.975772,0,-113.77433563893895,-46.68829842354077,-154.93138823513706
1512,1486952795,-19.794577,-13.134763,8.723827,0,-124.41762439145563,-53.669043963560604,-145.97485354802828
1513,1486969462,-15.360737,-13.744492,12.180016,0,-139.50055271925467,-59.568985959515416,-133.44112594154183
1514,1486986129,-10.437796,-15.162572,14.695709,0,-159.71832389322864,-63.37667148681124,-116.92573171335215
1515,1487002796,-4.115325,-15.066728,15.9692745,0,177.25942068963823,-64.44814043599597,-98.55182747328294
1516,1487019463,1.4828386,-14.661178,14.695183,0,155.65768791128644,-63.116442737810985,-81.98966833406674
1517,1487036130,8.473867,-14.329104,12.057308,0,137.9285848507423,-60.37011022195627,-68.98807582236797
1518,1487052797,11.415943,-13.528216,8.282927,0,124.25904057207072,-56.91375428605603,-59.04423789153177
1519,1487069464,11.768888,-13.179391,5.0953264,0,113.93816183261008,-53.15304757342184,-51.831016168076715
1520,1487086131,11.32318,-12.441972,2.6018572,0,106.11442600082535,-49.41074872929391,-46.74497773902276
1521,1487102798,9.651291,-12.0400095,0.2922554,0,99.87680343453845,-45.77964838375806,-43.23268451897771
1522,1487119465,8.968379,-11.583111,-2.0198512,0,94.3957239876242,-42.27689626458555,-40.99768630035994
1523,1487136132,10.465981,-11.110451,-4.391247,0,89.40110833597478,-38.998937713450324,-39.71115306149793
1524,1487152799,11.059058,-11.0159,-6.6087623,0,85.07355070410861,-36.13631936034574,-38.9213524108607
