"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.173499375E0,1.046283227E0,-3.078162600E0,1.819899094E0,3.725832296E0
2.183470375E0,-5.410253227E-2,-2.375262374E0,3.094308516E0,3.901223350E0
2.193441375E0,-1.215953638E0,-2.006670272E0,4.204119403E0,4.814549697E0
2.203412375E0,-2.202279516E0,-2.262329251E0,5.299572451E0,6.168762994E0
2.213383375E0,-3.495913414E0,-2.119676485E0,6.153706816E0,7.388000175E0
2.223354375E0,-4.535440183E0,-1.803926840E0,7.022120082E0,8.551873488E0
2.233325375E0,-4.919468935E0,-1.654888037E0,7.930855747E0,9.478306911E0
2.243296375E0,-5.039960754E0,-1.264098442E0,8.669175482E0,1.010711397E1
2.253267375E0,-4.741154585E0,-4.990779823E-1,9.168877362E0,1.033421200E1
2.263238375E0,-4.054203225E0,-5.021778837E-1,8.802227120E0,9.704017142E0
2.273209417E0,-3.144574690E0,-1.189530655E0,7.586148936E0,8.297770113E0
2.283180417E0,-2.173618511E0,-1.810550858E0,5.847282895E0,6.495646935E0
2.293151417E0,-1.303761860E0,-1.805503834E0,4.831123939E0,5.319717811E0
2.303122417E0,-9.026446205E-1,-1.285201628E0,4.569522434E0,4.831878083E0
2.313093417E0,-1.075060007E0,-7.644003627E-1,4.282356318E0,4.480919277E0
2.323064417E0,-1.212328657E0,-7.168911508E-1,3.684300177E0,3.944330297E0
2.333035417E0,-1.485184590E0,-8.062173101E-1,3.854576359E0,4.208743105E0
2.343006417E0,-2.278931835E0,-6.347310466E-1,4.205446136E0,4.825162279E0
2.352977417E0,-2.459464619E0,-1.122454321E0,3.418068847E0,4.357988591E0
2.362948417E0,-2.063738512E0,-1.613320766E0,2.189449555E0,3.414016680E0
2.372919417E0,-1.732829960E0,-2.006968772E0,1.113637889E0,2.875902062E0
2.382890417E0,-1.917166357E0,-2.314075356E0,1.013135362E0,3.171263920E0
2.392861417E0,-2.766115996E0,-2.309399630E0,8.933680129E-1,3.712523503E0
2.402832417E0,-3.386978617E0,-2.425435285E0,-1.269588393E-1,4.167790664E0
2.412803417E0,-3.466073903E0,-2.443170183E0,-9.342377114E-1,4.342297657E0
2.422774417E0,-3.362034395E0,-1.853917318E0,-8.260911191E-1,3.927175987E0
2.432745417E0,-3.283688137E0,-1.197648929E0,-1.131097090E0,3.673738064E0
2.442716417E0,-2.895998443E0,-1.480235506E0,-1.501263848E0,3.582135854E0
2.452687417E0,-2.762158016E0,-2.237480924E0,-1.489778747E0,3.854254598E0
2.462658417E0,-2.833619762E0,-2.728785033E0,-1.475754785E0,4.201609322E0
2.472629417E0,-2.604627887E0,-3.271270113E0,-1.622926279E0,4.485441370E0
2.482600417E0,-2.347737484E0,-3.923464161E0,-1.479154356E0,4.805553030E0
2.492571417E0,-2.118588611E0,-4.173570917E0,-1.234721446E0,4.840624851E0
2.502542417E0,-1.613558163E0,-4.196472122E0,-1.014546880E0,4.609040419E0
2.512513417E0,-1.377795796E0,-3.935630463E0,-6.237084603E-1,4.216221133E0
2.522484417E0,-1.667521239E0,-3.411074115E0,-3.519807476E-1,3.813127870E0
2.532455417E0,-1.721488701E0,-2.963310713E0,-3.774903953E-2,3.427266946E0
2.542426417E0,-1.284873307E0,-3.090915085E0,-1.304589826E-1,3.349876867E0
2.552398417E0,-5.936578649E-1,-4.048405419E0,-6.598606253E-1,4.144566580E0
2.562369417E0,-9.960293323E-2,-4.867293645E0,-1.216020296E0,5.017885365E0
2.572340417E0,-4.321063131E-2,-4.761301167E0,-9.505116820E-1,4.855443174E0
2.582311417E0,-6.728031448E-1,-4.314161078E0,-4.872414637E-1,4.393410306E0
2.592282417E0,-1.509829727E0,-3.467285738E0,2.795898789E-1,3.792074194E0
2.602253417E0,-2.049537672E0,-2.775430026E0,8.663088530E-1,3.557261239E0
2.612224417E0,-1.911600977E0,-2.791104657E0,1.198651142E0,3.589045564E0
2.622195417E0,-1.351737095E0,-2.986008435E0,1.081136141E0,3.451419259E0
2.632166417E0,-7.962384519E-1,-3.287346155E0,3.726389605E-1,3.402866470E0
2.642137417E0,-1.320660898E-1,-3.790392935E0,-3.624601275E-1,3.809973412E0
2.652108417E0,4.375094327E-1,-4.259526741E0,-6.943469185E-1,4.337868164E0
2.662079417E0,5.470421076E-1,-4.413934457E0,-3.915330684E-1,4.464904322E0
2.672050417E0,2.961994797E-1,-4.088684841E0,1.381059712E-1,4.101725383E0
2.682021417E0,1.805617270E-1,-3.579362537E0,5.014946365E-1,3.618830692E0
2.691992417E0,2.821819496E-1,-2.896220345E0,8.684138507E-1,3.036751810E0
2.701963417E0,3.078117576E-1,-2.631323350E0,1.035857057E0,2.844575626E0
2.711934417E0,2.966495691E-1,-3.082133736E0,7.607151550E-1,3.188453682E0
2.721905417E0,5.521736240E-1,-3.452523858E0,3.135721421E-1,3.510433618E0
2.731876417E0,1.237962850E0,-3.787908745E0,-2.911585951E-1,3.995694934E0
2.741847417E0,1.867173540E0,-4.066064302E0,-9.542761195E-1,4.574916267E0
2.751818417E0,1.613839560E0,-3.573207173E0,-1.257515062E0,4.117478811E0
2.761789417E0,4.785830529E-1,-2.442801223E0,-8.240942949E-1,2.622108114E0
2.771760417E0,-7.816954033E-1,-1.081838976E0,1.806900734E-1,1.346874967E0
2.781731417E0,-1.827293483E0,7.392699069E-1,1.683353745E0,2.592142222E0
2.791702417E0,-2.326635029E0,1.572907150E0,2.945676388E0,4.069923444E0
2.801673417E0,-1.996819175E0,7.016328415E-1,3.100793663E0,3.754263817E0
2.811644417E0,-1.346025827E0,-1.020199383E0,2.163495519E0,2.744686716E0
2.821615417E0,-5.560935974E-1,-2.581338134E0,1.139045210E0,2.875755665E0
2.831586417E0,5.395934857E-1,-3.200196329E0,-7.543492913E-3,3.245377417E0
2.841557417E0,1.465752392E0,-1.840406449E0,-1.023468561E0,2.565738464E0
2.851528417E0,1.355423911E0,4.823020282E-1,-1.162860920E0,1.849874251E0
2.861499417E0,5.208831266E-1,1.893871342E0,-6.987732607E-1,2.084790628E0
2.871470417E0,-6.719937439E-1,2.275222946E0,-5.649930596E-2,2.373058621E0
2.881441417E0,-1.480396889E0,2.311425397E0,7.861172140E-1,2.855213231E0
2.891412417E0,-1.320959837E0,1.747829238E0,1.404538622E0,2.602416315E0
2.901383417E0,-7.347886008E-1,3.491925028E-1,1.537722407E0,1.739666604E0
2.911354417E0,2.951966822E-3,-1.033690956E0,1.134696636E0,1.534946958E0
2.921325417E0,1.159443222E0,-8.272345421E-1,7.940553939E-1,1.630689898E0
2.931296417E0,2.365813859E0,1.054528678E0,9.138964176E-1,2.746691211E0
2.941268417E0,2.908105103E0,2.457526851E0,9.922122699E-1,3.934590030E0
2.951239417E0,2.888339176E0,2.363786629E0,8.095049071E-1,3.819069077E0
2.961210417E0,2.407295468E0,2.169067331E0,3.974124438E-1,3.264637990E0
2.971181417E0,1.787547912E0,2.875190249E0,7.471870369E-1,3.467035474E0
2.981152417E0,1.353095696E0,3.833860844E0,1.624611447E0,4.378209598E0
2.991123417E0,5.960008442E-1,4.238655982E0,2.429585931E0,4.921819718E0
3.001094417E0,1.283744502E-1,4.045476548E0,3.345318375E0,5.251048993E0
3.011065417E0,3.199150555E-1,3.100521475E0,3.763059248E0,4.886327247E0
3.021036417E0,4.675285994E-1,2.267122652E0,3.718770683E0,4.380374813E0
3.031007417E0,9.925484848E-1,2.420832942E0,3.344323763E0,4.246184883E0
3.040978417E0,2.014903005E0,2.213156506E0,2.460828774E0,3.874735358E0
3.050949417E0,2.997483303E0,1.832547060E0,1.632220429E0,3.873922870E0
3.060920417E0,3.057956377E0,1.801062874E0,9.368221807E-1,3.670498668E0
3.070891417E0,1.610783220E0,1.765037447E0,6.352947181E-1,2.472565298E0
3.080862417E0,4.408647113E-1,2.244773863E0,1.374107373E0,2.668621828E0
3.090833417E0,5.159651797E-1,3.131006227E0,2.306040697E0,3.922657741E0
3.100804417E0,6.262658863E-1,2.975107178E0,2.595113590E0,3.997259840E0
3.110775417E0,9.195381036E-1,2.085516759E0,2.321836365E0,3.253591029E0
3.120746417E0,1.556839294E0,1.225740561E0,1.609344367E0,2.552680513E0
3.130717417E0,1.908987564E0,4.526095748E-1,9.577598906E-1,2.183207034E0
