sep=,
DeviceTag:,RW2,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.1.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
SyncStatus:,Un-synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2024-06-16 16:26:42.845 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
113, 1352397099, 0.8524253, 0.4331866, 0.15712066, -0.24704912, -3.2391493, -2.6218922, -5.5458503, 0
114, 1352413766, 0.83842623, 0.4544082, 0.15821962, -0.2559707, -2.5379462, 1.2203064, -3.8196144, 0
115, 1352430433, 0.8198567, 0.48242602, 0.15719363, -0.26531115, -2.0456245, 1.5404801, -0.9199667, 0
116, 1352447100, 0.80071294, 0.50973153, 0.15242575, -0.27531534, -0.52021223, 1.1072166, 5.352789, 0
117, 1352463767, 0.7921851, 0.519952, 0.1480924, -0.2831273, 0.2526636, 1.3328887, 4.8200035, 0
118, 1352480434, 0.7892761, 0.52156025, 0.144983, -0.289824, -1.0450834, 0.010249857, 0.23177624, 0
119, 1352497101, 0.784572, 0.5250153, 0.13890031, -0.29918617, -3.7530222, -0.52021056, -2.6736126, 0
120, 1352513768, 0.7807886, 0.5238027, 0.13348737, -0.31333774, -7.7748437, -4.7571282, -2.154831, 0
121, 1352530435, 0.7757192, 0.5205918, 0.1261227, -0.33367172, -13.094206, -5.8909616, -7.7148433, 0
122, 1352547102, 0.7575735, 0.52988946, 0.10775024, -0.3656354, -15.213544, -6.2123003, -8.461973, 0
123, 1352563769, 0.72619075, 0.5507974, 0.07966534, -0.40363628, -12.206142, 0.0067706546, -4.337602, 0
124, 1352580436, 0.689574, 0.5705227, 0.044732917, -0.44383585, -8.837621, 4.42244, 0.45028114, 0
125, 1352597103, 0.649807, 0.5847191, 0.0031774426, -0.48563787, -6.40155, 7.1994023, 0.28904533, 0
126, 1352613770, 0.6044908, 0.596561, -0.04330517, -0.5261466, -3.4710941, 8.260206, 0.13228226, 0
127, 1352630437, 0.5579507, 0.60521066, -0.08899485, -0.5607948, -0.03165254, 9.074633, 0.44128895, 0
