"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.781821125E0,3.930831653E0,3.211277388E0,-3.259767762E0,6.032398015E0
2.791792125E0,3.876494647E0,3.603173276E0,-3.247740040E0,6.209499478E0
2.801763125E0,3.929011999E0,4.331109525E0,-3.331445855E0,6.730094835E0
2.811734125E0,4.059673296E0,4.778483210E0,-3.368460485E0,7.117680457E0
2.821705125E0,4.169669947E0,4.950420002E0,-3.297385240E0,7.263990300E0
2.831676125E0,4.048065403E0,5.058164890E0,-3.105492486E0,7.184424065E0
2.841647125E0,3.887735919E0,5.180091616E0,-2.921859509E0,7.105286955E0
2.851618125E0,3.822969820E0,5.389855800E0,-2.732485735E0,7.150672841E0
2.861589125E0,3.726834578E0,5.619306389E0,-2.461257960E0,7.178000488E0
2.871560125E0,3.493041846E0,5.701425855E0,-2.200987866E0,7.039314292E0
2.881531125E0,3.300765515E0,5.795754308E0,-1.951845024E0,6.949497822E0
2.891502125E0,3.301050274E0,5.860012869E0,-1.614712111E0,6.916934215E0
2.901473125E0,3.321549443E0,5.710146393E0,-1.381497084E0,6.748851511E0
2.911444125E0,3.322279176E0,5.443594050E0,-1.213404764E0,6.491733684E0
2.921415125E0,3.305431593E0,5.271354373E0,-9.504871237E-1,6.294162432E0
2.931386125E0,3.376980463E0,5.089590751E0,-8.166723510E-1,6.162376553E0
2.941357125E0,3.428801411E0,4.782694083E0,-8.156596863E-1,5.941055675E0
2.951329125E0,3.273397037E0,4.465260147E0,-8.514026923E-1,5.601657156E0
2.961300125E0,3.060070730E0,4.168747841E0,-8.980048549E-1,5.248704998E0
2.971271125E0,2.875885776E0,4.021355030E0,-8.983510101E-1,5.024843262E0
2.981242125E0,2.731327402E0,3.880805215E0,-7.912124777E-1,4.811113767E0
2.991213125E0,2.448743749E0,3.657302998E0,-6.721982503E-1,4.452421998E0
3.001184125E0,2.113808219E0,3.313055778E0,-5.635242391E-1,3.970149033E0
3.011155125E0,1.921044815E0,2.964771055E0,-3.901424544E-1,3.554221676E0
3.021126125E0,1.528142914E0,2.771082036E0,-1.666854072E-1,3.168895776E0
3.031097125E0,9.617260569E-1,2.680307229E0,1.022901674E-1,2.849460849E0
3.041068125E0,5.831907642E-1,2.647571300E0,3.657667279E-1,2.735604240E0
3.051039125E0,3.674711913E-1,2.487328355E0,3.564041662E-1,2.539460839E0
3.061010125E0,2.741426128E-1,2.309185329E0,2.027052788E-1,2.334219460E0
3.070981125E0,2.317918146E-1,2.276002088E0,1.201602817E-1,2.290928075E0
3.080952125E0,1.922582048E-1,2.424849102E0,1.757873292E-1,2.438802487E0
3.090923125E0,1.493571836E-1,2.503902288E0,2.351529403E-1,2.519351334E0
3.100894125E0,-4.382371187E-2,2.417887992E0,2.991866760E-1,2.436722291E0
3.110865125E0,-3.354851675E-1,2.430871880E0,3.780366714E-1,2.482861277E0
3.120836125E0,-5.044650221E-1,2.424547970E0,3.677198441E-1,2.503624513E0
3.130807125E0,-6.627707845E-1,2.298395316E0,3.312168463E-1,2.414868680E0
3.140778125E0,-8.145393598E-1,2.320218879E0,4.205459292E-1,2.494744254E0
